name;countryOfOrigin;weekendGross;distributor;pcChangeOnLastWeek;weeksOnRelease;numberOfCinemas;siteAverage;totalGrossToDate
Five Nights At Freddy's;USA;5379587;Universal;-;1;607;8863;5379587
Trolls Band Together;USA;2539721;Universal;-18.794953;2;670;3791;9004554
Killers Of The Flower Moon;USA;1507697;Paramount;-40.432355;2;714;2112;5599165
Taylor Swift: The Eras Tour (Concert);USA;1226343;Trafalgar;-48.105867;3;631;1943;10422785
Paw Patrol: The Mighty Movie;Can/USA;709348;Paramount;-11.594066;3;639;1110;6106012
The Exorcist: Believer;USA;360503;Universal;-37.553335;4;440;819;5348646
The Great Escaper;UK;265078;Warner Bros;-19.394389;4;403;658;3848645
Sumotherhood;UK;194673;Paramount;-49.078872;3;238;818;1912465
The Creator;UK/USA;184689;Disney;-43.310067;5;288;641;6567515
Saw X;USA/Mex;153338;Lionsgate;-37.284785;5;267;574;5683416
Hocus Pocus (30th Anniversary);USA;141962;Park Circus;224.999659;5;457;311;383250
The Miracle Club;UK/Irl/USA;124956;Lionsgate;-31.033265;3;247;506;1225978
A Haunting In Venice;UK/USA;120080;Disney;-34.11429;7;232;518;9335971
Beetlejuice (35th Anniversary);USA;98845;Park Circus;-;1;231;428;98845
Leo;Ind;89634;Ahimsa Entertainment;-92.250551;2;135;664;1417017
Typist Artist Pirate King;UK;28624;Modern Films;-;1;26;1101;28624
The Canterville Ghost;UK/Ind;27578;Signature Entertainment;1.701947;6;190;145;525499
The Shining (Re: 2022);UK/USA;24411;Park Circus;800.442641;62;40;610;102767
The Old Oak;UK/Fra/Bel;15060;StudioCanal;-52.860899;5;40;377;955404
The Rocky Horror Picture Show (Re: 2011);UK/USA;13583;20th Century Fox;2345.56881;627;41;331;661308
Antarctica 3D;UK/Can/USA;12417;Independent;107.885485;127;1;12417;1565369
Maujaan Hi Maujaan;UK/Ind;11045;Shree Entertainment;-64.069727;2;5;2209;60142
Hey Duggee Cinema Outing;UK;9234;Vue Entertainment;-23.887224;2;98;94;30659
Peeping Tom (4K Restoration);UK;8548;StudioCanal;-;1;22;389;8548
Golda;UK;8021;Met Film Distribution;-2.598664;4;10;802;144666
I Know Where I'm Going (4K Restoration);UK;7771;BFI;-45.755968;2;5;1554;34271
Lost Boys: Belfast's Missing Children;UK;6758;Alley Cats;-;1;8;845;6758
Dr Jekyll;UK;6604;Miracle/Hammer;-;1;65;102;6604
Dead Of Night (Re: 2004);UK;4339;BFI;-;983;24;181;27519
Barbie;UK/USA;4077;Warner Bros;-29.930678;15;14;291;95559366
Last Night In Soho;UK/USA;3984;Universal;-;105;2;1992;2350633
The Life And Death Of Colonel Blimp (Re: 2012);UK;3524;Park Circus;2741.935484;598;1;3524;41732
Fanny: The Other Mendelssohn;UK;2734;Dartmouth Films;-;1;1;2734;2734
An American Werewolf In London (Re: 2009);UK;2476;Universal;-;731;3;825;95679
Ganapath - Hero Is Born;UK/Ind;2318;Bollywood Films;-86.184171;2;13;178;29494
The Prince Of Egypt: The Musical (Musical);UK/USA;1850;Trafalgar;-98.37846;3;4;463;229660
Atonement;UK;1648;Universal;-;843;1;1648;12359717
A Matter of Life and Death (4K Restoration);UK;1442;Park Circus;52.754237;308;2;721;75774
Shaun Of The Dead;UK;1342;United International Pictures;-;1021;2;671;6764667
The Pigeon Tunnel;UK/USA;1321;Apple;-92.660703;2;8;165;28067
The Nettle Dress;UK;1312;Dartmouth Films;216.144578;7;3;437;70195
Rally Road Racers;UK/Can/USA;1311;Vertigo;-52.62543;7;15;87;351434
The Wicker Man: 50th Anniversary Release (The Final Cut - 4K Restoration);UK;1304;StudioCanal;-;20;3;435;185315
The Strange Case Of Dr Jekyll & Mr Hyde - Live From Leith Theatre (Theatre);UK;1179;Cosmic Cat;19.705434;88;6;196;34511
The Thief Of Baghdad (Re: 1992);UK;1171;Central TV;274.121406;1632;1;1171;18377
Wallace And Gromit: The Curse Of The Were-Rabbit (Re: 2022);UK/USA;1145;Park Circus;-;78;4;286;40637
Room On The Broom/The Highway Rat;UK/Ger;635;Magic Light Pictures (UK);-;106;2;318;108188
Deep Fear;UK;625;Jade Films;-;1;9;69;625
Yerma - NT Live 2017 (Theatre);UK;253;National Theatre;-;323;2;127;899045
Romeo & Juliet;UK;252;National Theatre;-;110;1;252;117420
Exhibition On Screen: Klimt And The Kiss 2023 (Exhibition);UK/Aut;172;Seventh Art Production;-;1;1;172;172
Cat Person;USA/Fra;79724;StudioCanal;-;1;178;448;79724
How To Save The Immortal;Rus;34574;Miracle/Dazzler;-;1;138;251;34574
Rozyczka 2;Pol;29046;Magnetes;-;1;124;234;29046
Retribution;Fra/Deu/Esp/USA;25691;StudioCanal;-;1;43;597;25691
12th Fail;Ind;17151;Zee Studios;-;1;39;440;17151
20,000 Species Of Bees;Esp;16828;Curzon;-;1;30;561;16828
Tejas;Ind;8275;Bakrania Media;-;1;35;236;8275
Savage Waters;Fra/UK;8059;Tull Stories;-;1;5;1612;8059
Beyond Utopia;USA/UK;7963;Dogwoof;-;1;9;885;7963
Mujib: The Making Of A Nation;Bgd/Ind;6044;Shree Entertainment;-;1;4;1511;6044
